cluster_id,score_supervised_full
0,3.967875072813967e-05
1,7.685804150465337e-05
2,3.405721320674709e-05
3,3.967875072813967e-05
4,3.8990345011901275e-05
5,1.598543895487628e-05
6,4.302413096533109e-05
7,0.00011385148675463644
8,5.5395712172398854e-05
9,5.557638056356535e-05
10,5.947523027958221e-05
11,4.302413096533109e-05
12,5.4572048926937234e-05
13,3.481201745946954e-05
14,3.277771705274918e-05
15,4.3174335854520414e-05
16,3.481201745946954e-05
17,4.540121430718667e-05
18,8.461174909592153e-05
19,4.6212434981040124e-05
20,7.979131884753436e-05
21,7.979131884753436e-05
22,2.766418635191514e-05
23,4.6212434981040124e-05
24,6.311047894783117e-05
25,5.5792538903736045e-05
26,5.5792538903736045e-05
27,4.8750673950532886e-05
28,4.302413096533109e-05
29,5.5792538903736045e-05
30,8.461174909592153e-05
31,7.979131884753436e-05
32,4.302413096533109e-05
33,3.277771705274918e-05
34,3.277771705274918e-05
35,5.5792538903736045e-05
36,7.979131884753436e-05
37,5.5792538903736045e-05
38,4.6212434981040124e-05
39,5.5792538903736045e-05
40,3.277771705274918e-05
41,7.185804978386369e-05
42,5.557638056356535e-05
43,4.6212434981040124e-05
44,3.277771705274918e-05
45,3.277771705274918e-05
46,6.207004696356294e-05
47,3.277771705274918e-05
48,5.4572048926937234e-05
49,7.979131884753436e-05
50,4.302413096533109e-05
51,3.277771705274918e-05
52,4.302413096533109e-05
53,5.557638056356535e-05
54,4.12241412491815e-05
55,5.5792538903736045e-05
56,4.6212434981040124e-05
57,4.6212434981040124e-05
58,4.6212434981040124e-05
59,5.7950877811758916e-05
60,6.311047894783117e-05
61,4.6212434981040124e-05
62,5.5792538903736045e-05
63,2.2928130484507014e-05
64,7.550686202559025e-05
65,5.5792538903736045e-05
66,8.461174909592153e-05
67,4.3174335854520414e-05
68,5.5792538903736045e-05
69,8.377229314746813e-05
70,5.557638056356535e-05
71,4.6212434981040124e-05
72,5.5792538903736045e-05
73,0.0003025025566233976
74,3.481201745946954e-05
75,3.277771705274918e-05
76,4.6212434981040124e-05
77,5.5792538903736045e-05
78,7.979131884753436e-05
79,5.5792538903736045e-05
80,4.6212434981040124e-05
81,4.6212434981040124e-05
82,5.5792538903736045e-05
83,3.3592120947808416e-05
84,2.2910964969801e-05
85,8.461174909592153e-05
86,8.187194711530321e-05
87,4.6212434981040124e-05
88,0.00011199839482081399
89,4.6212434981040124e-05
90,5.5395712172398854e-05
91,8.903408457757796e-05
92,7.550686202559025e-05
93,4.6212434981040124e-05
94,4.6212434981040124e-05
95,5.5792538903736045e-05
96,1.4261121226533763e-05
97,7.28019850736344e-05
98,4.345683190502227e-05
99,4.6212434981040124e-05
100,3.277771705274918e-05
101,5.9795711670638015e-05
102,3.277771705274918e-05
103,5.5792538903736045e-05
104,5.5792538903736045e-05
105,3.277771705274918e-05
106,3.481201745946954e-05
107,3.277771705274918e-05
108,8.461174909592153e-05
109,3.277771705274918e-05
110,7.979131884753436e-05
111,2.8972054349718028e-05
112,5.4572048926937234e-05
113,5.5792538903736045e-05
114,7.979131884753436e-05
115,7.979131884753436e-05
116,7.979131884753436e-05
117,7.979131884753436e-05
118,0.007985496962145597
119,3.277771705274918e-05
120,5.5792538903736045e-05
121,7.979131884753436e-05
122,5.557638056356535e-05
123,5.5792538903736045e-05
124,8.461174909592153e-05
125,4.6212434981040124e-05
126,5.5792538903736045e-05
127,8.256086862671982e-05
128,4.4942084313084635e-05
129,3.7268898122535716e-05
130,5.5792538903736045e-05
131,5.5395712172398854e-05
132,7.979131884753436e-05
133,5.5792538903736045e-05
134,5.5792538903736045e-05
135,5.5792538903736045e-05
136,4.6212434981040124e-05
137,3.277771705274918e-05
138,7.979131884753436e-05
139,0.00011377875226582844
140,5.5792538903736045e-05
141,6.513956585773506e-05
142,4.3174335854520414e-05
143,3.277771705274918e-05
144,3.277771705274918e-05
145,4.6212434981040124e-05
146,7.979131884753436e-05
147,4.265362923090977e-05
148,7.979131884753436e-05
149,7.2255895756446e-05
150,8.377229314746813e-05
151,6.808799083971378e-05
152,4.6212434981040124e-05
153,7.979131884753436e-05
154,5.5792538903736045e-05
155,4.6212434981040124e-05
156,5.5792538903736045e-05
157,3.277771705274918e-05
158,3.277771705274918e-05
159,7.979131884753436e-05
160,4.6212434981040124e-05
161,8.461174909592153e-05
162,5.2244306560046665e-05
163,3.277771705274918e-05
164,5.4572048926937234e-05
165,7.925489277977144e-05
166,5.5792538903736045e-05
167,7.979131884753436e-05
168,5.8314499154218505e-05
169,5.8314499154218505e-05
170,3.277771705274918e-05
171,7.550686202559025e-05
172,7.979131884753436e-05
173,8.461174909592153e-05
174,8.461174909592153e-05
175,0.0002330979487484183
176,3.0255617066206472e-05
177,8.461174909592153e-05
178,8.461174909592153e-05
179,7.979131884753436e-05
180,7.979131884753436e-05
181,8.461174909592153e-05
182,0.00030545812665143965
183,8.461174909592153e-05
184,4.6212434981040124e-05
185,4.6212434981040124e-05
186,3.277771705274918e-05
187,5.5792538903736045e-05
188,0.0003680166677697605
189,4.345683190502227e-05
190,3.277771705274918e-05
191,7.979131884753436e-05
192,5.8638781860524305e-05
193,4.6212434981040124e-05
194,0.000336570251892822
195,4.4942084313084635e-05
196,3.385538082762965e-05
197,7.979131884753436e-05
198,4.6212434981040124e-05
199,3.1009259797583566e-05
200,8.461174909592153e-05
201,7.979131884753436e-05
202,5.5792538903736045e-05
203,5.3110626375474524e-05
204,7.979131884753436e-05
205,4.6212434981040124e-05
206,4.58530908941785e-05
207,0.00012493514143268545
208,3.277771705274918e-05
209,4.6212434981040124e-05
210,3.7268898122535716e-05
211,4.0077807963177526e-05
212,7.550686202559025e-05
213,7.748497970225357e-05
214,5.5792538903736045e-05
215,6.969628452572194e-05
216,3.277771705274918e-05
217,0.0019019051238467167
218,6.13591852446686e-05
219,3.277771705274918e-05
220,7.979131884753436e-05
221,8.461174909592153e-05
222,7.925489277977144e-05
223,8.461174909592153e-05
224,8.461174909592153e-05
225,6.171940104249608e-05
226,6.513956585773506e-05
227,7.235874269882865e-05
228,3.277771705274918e-05
229,3.277771705274918e-05
230,0.00010888083821761426
231,8.104515545186897e-05
232,8.461174909592153e-05
233,0.00010123106000170549
234,3.277771705274918e-05
235,3.277771705274918e-05
236,9.770631554043817e-05
237,3.7268898122535716e-05
238,3.277771705274918e-05
239,6.311047894783117e-05
240,5.8314499154218505e-05
241,7.550686202559025e-05
242,0.00020177324672249433
243,7.2255895756446e-05
244,8.461174909592153e-05
245,4.6212434981040124e-05
246,3.277771705274918e-05
247,7.979131884753436e-05
248,1.598543895487628e-05
249,6.207004696356294e-05
250,4.6212434981040124e-05
251,5.8314499154218505e-05
252,4.6212434981040124e-05
253,4.804819881456474e-05
254,3.375378603664333e-05
255,8.461174909592153e-05
256,0.00010641293291276661
257,3.385538082762965e-05
258,6.13591852446686e-05
259,0.0002455494573848309
260,7.979131884753436e-05
261,5.5792538903736045e-05
262,3.277771705274918e-05
263,1.936119087399575e-05
264,4.6212434981040124e-05
265,8.461174909592153e-05
266,2.2928130484507014e-05
267,3.277771705274918e-05
268,6.513956585773506e-05
269,5.5792538903736045e-05
270,4.540121430718667e-05
271,7.979131884753436e-05
272,3.481201745946954e-05
273,7.28019850736344e-05
274,4.540121430718667e-05
275,5.5395712172398854e-05
276,6.261794758204323e-05
277,9.807814677941251e-05
278,5.5792538903736045e-05
279,9.147434781029516e-05
280,4.302413096533109e-05
281,3.967875072813967e-05
282,2.766418635191514e-05
283,3.0255617066206472e-05
284,0.00010123106000170549
285,7.979131884753436e-05
286,7.2255895756446e-05
287,7.979131884753436e-05
288,5.5792538903736045e-05
289,0.00014169272607839618
290,4.6212434981040124e-05
291,4.4925008434438004e-05
292,4.31050791975336e-05
293,0.00018013491494213915
294,3.277771705274918e-05
295,6.042372352576697e-05
296,5.4572048926937234e-05
297,5.0011130906210825e-05
298,4.6212434981040124e-05
299,7.979131884753436e-05
300,8.461174909592153e-05
301,7.979131884753436e-05
302,0.00382313041636476
303,3.277771705274918e-05
304,4.6212434981040124e-05
305,5.8638781860524305e-05
306,8.973180154236289e-05
307,8.461174909592153e-05
308,4.804819881456474e-05
309,0.0012244856453179648
310,6.513956585773506e-05
311,3.83419436782336e-05
312,3.277771705274918e-05
313,5.4572048926937234e-05
314,4.6212434981040124e-05
315,3.385538082762965e-05
316,3.277771705274918e-05
317,3.277771705274918e-05
318,0.00010624918024110253
319,0.0001058518524602981
320,5.5792538903736045e-05
321,5.5792538903736045e-05
322,5.4572048926937234e-05
323,4.4942084313084635e-05
324,5.5792538903736045e-05
325,3.0255617066206472e-05
326,3.277771705274918e-05
327,7.979131884753436e-05
328,5.4572048926937234e-05
329,3.277771705274918e-05
330,3.277771705274918e-05
331,8.461174909592153e-05
332,2.2928130484507014e-05
333,7.979131884753436e-05
334,7.925489277977144e-05
335,6.152891779582762e-05
336,8.65730487676849e-05
337,7.979131884753436e-05
338,7.979131884753436e-05
339,7.979131884753436e-05
340,7.979131884753436e-05
341,8.364843932278847e-05
342,0.00010123106000170549
343,8.104515545186897e-05
344,4.6212434981040124e-05
345,5.5792538903736045e-05
346,9.200210300381848e-05
347,5.557638056356535e-05
348,4.6212434981040124e-05
349,3.0255617066206472e-05
350,0.00010123106000170549
351,3.0255617066206472e-05
352,2.3098747460176342e-05
353,2.838863166581576e-05
354,5.8638781860524305e-05
355,9.807814677941251e-05
356,0.0001271179421258383
357,4.4942084313084635e-05
358,4.4942084313084635e-05
359,0.00010123106000170549
360,4.302413096533109e-05
361,8.461174909592153e-05
362,3.277771705274918e-05
363,5.8314499154218505e-05
364,3.0255617066206472e-05
365,6.202134922890732e-05
366,0.0049459519519495995
367,7.979131884753436e-05
368,2.2928130484507014e-05
369,5.7950877811758916e-05
370,6.207004696356294e-05
371,2.4702558605647176e-05
372,5.8638781860524305e-05
373,5.331076351241896e-05
374,5.557638056356535e-05
375,3.277771705274918e-05
376,8.461174909592153e-05
377,0.00030292868530836723
378,3.385538082762965e-05
379,5.8638781860524305e-05
380,5.0011130906210825e-05
381,7.550686202559025e-05
382,0.001139863785269852
383,5.8638781860524305e-05
384,0.00012407716205664956
385,3.277771705274918e-05
386,4.265362923090977e-05
387,4.3174335854520414e-05
388,4.302413096533109e-05
389,0.0001271179421258383
390,3.277771705274918e-05
391,4.6212434981040124e-05
392,3.7268898122535716e-05
393,4.265362923090977e-05
394,8.903408457757796e-05
395,6.306404573996624e-05
396,0.00027047915356602997
397,3.277771705274918e-05
398,5.5792538903736045e-05
399,3.7268898122535716e-05
400,6.207004696356294e-05
401,8.461174909592153e-05
402,3.277771705274918e-05
403,0.00010011199397978165
404,5.8638781860524305e-05
405,4.302413096533109e-05
406,0.00011215318460695191
407,6.49235666344826e-05
408,3.7268898122535716e-05
409,7.2255895756446e-05
410,5.5792538903736045e-05
411,5.504049423174341e-05
412,5.5792538903736045e-05
413,8.163163818141763e-05
414,6.666875759850904e-05
415,3.3592120947808416e-05
416,6.317633328144562e-05
417,0.0009987057392735461
418,0.0004176699630213463
419,3.385538082762965e-05
420,7.2255895756446e-05
421,7.198583946249376e-05
422,3.481201745946954e-05
423,1.3592359195304871e-05
424,0.0003211968192076902
425,4.3174335854520414e-05
426,5.5792538903736045e-05
427,4.6212434981040124e-05
428,0.02857674391613645
429,8.06776094295201e-05
430,5.4816529290689644e-05
431,4.540121430718667e-05
432,4.6212434981040124e-05
433,4.119889980053241e-05
434,0.00016888219956490646
435,2.991326042129376e-05
436,4.3174335854520414e-05
437,4.6212434981040124e-05
438,3.277771705274918e-05
439,0.0002741292514550378
440,5.5792538903736045e-05
441,6.254724436291979e-05
442,0.0005104093119375333
443,3.384255231453151e-05
444,7.550686202559025e-05
445,4.6212434981040124e-05
446,0.0001793367896715296
447,5.5395712172398854e-05
448,2.799959205851564e-05
449,8.461174909592153e-05
450,3.0255617066206472e-05
451,5.8314499154218505e-05
452,3.0255617066206472e-05
453,4.228200969516861e-05
454,3.385538082762965e-05
455,3.277771705274918e-05
456,0.0002623221822023043
457,7.979131884753436e-05
458,7.979131884753436e-05
459,3.055990683315593e-05
460,6.207004696356294e-05
461,5.36103447491116e-05
462,0.0006502698264437214
463,6.513956585773506e-05
464,3.277771705274918e-05
465,8.461174909592153e-05
466,5.5792538903736045e-05
467,5.5395712172398854e-05
468,2.7814137691742592e-05
469,8.461174909592153e-05
470,3.385538082762965e-05
471,5.5792538903736045e-05
472,0.00018124913400348263
473,9.04483784131937e-05
474,5.5792538903736045e-05
475,0.00012241146217449112
476,4.4942084313084635e-05
477,5.5792538903736045e-05
478,7.979131884753436e-05
479,7.979131884753436e-05
480,3.277771705274918e-05
481,0.00014891328835510694
482,5.8314499154218505e-05
483,0.00010123106000170549
484,3.0255617066206472e-05
485,7.979131884753436e-05
486,4.12241412491815e-05
487,0.0002846873539061456
488,9.658805169834887e-05
489,6.152891779582762e-05
490,3.967875072813967e-05
491,5.0011130906210825e-05
492,7.131448915376548e-05
493,7.979131884753436e-05
494,8.461174909592153e-05
495,4.4942084313084635e-05
496,7.2255895756446e-05
497,7.550686202559025e-05
498,8.461174909592153e-05
499,5.8638781860524305e-05
500,5.8638781860524305e-05
501,5.5395712172398854e-05
502,4.6212434981040124e-05
503,5.5792538903736045e-05
504,4.302413096533109e-05
505,7.979131884753436e-05
506,4.6212434981040124e-05
507,4.302413096533109e-05
508,4.265362923090977e-05
509,5.703924312132512e-05
510,0.00018920626020479126
511,4.6212434981040124e-05
512,3.277771705274918e-05
513,0.00010123106000170549
514,0.00020326421443720328
515,3.277771705274918e-05
516,0.0001271179421258383
517,0.0001378021092709269
518,3.277771705274918e-05
519,3.0289588023278406e-05
520,0.00018808397907529704
521,8.21753286038977e-05
522,6.161753578218189e-05
523,4.6212434981040124e-05
524,0.00010123106000170549
525,5.8638781860524305e-05
526,3.0255617066206472e-05
527,7.979131884753436e-05
528,0.00010123106000170549
529,0.00014801786647137166
530,8.65730487676849e-05
531,3.259287076554125e-05
532,8.264374276045487e-05
533,5.9991265075787155e-05
534,4.265362923090977e-05
535,3.3592120947808416e-05
536,8.461174909592153e-05
537,4.348843892317304e-05
538,6.276076309546007e-05
539,3.967875072813967e-05
540,1.677959564596976e-05
541,3.095384398380035e-05
542,6.152891779582762e-05
543,7.979131884753436e-05
544,7.979131884753436e-05
545,4.6212434981040124e-05
546,4.6212434981040124e-05
547,5.5792538903736045e-05
548,6.207004696356294e-05
549,3.3592120947808416e-05
550,6.513956585773506e-05
551,5.5395712172398854e-05
552,7.638765853006796e-05
553,5.8314499154218505e-05
554,3.277771705274918e-05
555,2.789369078842333e-05
556,8.461174909592153e-05
557,7.476399167200968e-05
558,6.044100428818637e-05
559,3.277771705274918e-05
560,5.4572048926937234e-05
561,0.00010698606321076253
562,4.3788696102688724e-05
563,4.302413096533109e-05
564,2.2928130484507014e-05
565,5.8638781860524305e-05
566,0.00010624918024110253
567,7.550686202559025e-05
568,8.461174909592153e-05
569,8.461174909592153e-05
570,0.0005306977116028992
571,7.550686202559025e-05
572,6.278414344494603e-05
573,5.012886575238491e-05
574,0.00010629123517067669
575,0.00012879129243929916
576,3.481201745946954e-05
577,3.481201745946954e-05
578,7.550686202559025e-05
579,3.277771705274918e-05
580,6.032201904938622e-05
581,0.0001271179421258383
582,6.13591852446686e-05
583,6.152891779582762e-05
584,0.00010624918024110253
585,5.9123212113154646e-05
586,3.481201745946954e-05
587,5.5792538903736045e-05
588,2.2928130484507014e-05
589,3.7268898122535716e-05
590,5.5792538903736045e-05
591,7.979131884753436e-05
592,0.00010676032722531388
593,8.461174909592153e-05
594,3.277771705274918e-05
595,4.6212434981040124e-05
596,4.6212434981040124e-05
597,5.5792538903736045e-05
598,5.5792538903736045e-05
599,3.0255617066206472e-05
600,3.0255617066206472e-05
601,0.00010123106000170549
602,5.8638781860524305e-05
603,7.979131884753436e-05
604,0.0003969734250343094
605,0.00011060830140845776
606,8.377229314746813e-05
607,8.2465528119237e-05
608,3.3592120947808416e-05
609,7.38372805327794e-05
610,5.8638781860524305e-05
611,4.343769795746226e-05
612,6.558752447831502e-05
613,8.461174909592153e-05
614,4.049299915039708e-05
615,8.461174909592153e-05
616,3.095597248911481e-05
617,0.0001157554153488073
618,5.8638781860524305e-05
619,3.0255617066206472e-05
620,5.8314499154218505e-05
621,5.8638781860524305e-05
622,4.6212434981040124e-05
623,5.4572048926937234e-05
624,7.979131884753436e-05
625,8.461174909592153e-05
626,3.759067437657187e-05
627,5.8638781860524305e-05
628,0.00017263987762538256
629,0.0001373289721651699
630,9.308810618712917e-05
631,3.481201745946954e-05
632,3.481201745946954e-05
633,5.4572048926937234e-05
634,8.461174909592153e-05
635,4.6212434981040124e-05
636,4.6212434981040124e-05
637,8.492951655427605e-05
638,7.979131884753436e-05
639,5.8314499154218505e-05
640,0.000361978976043625
641,5.0011130906210825e-05
642,5.5792538903736045e-05
643,4.6212434981040124e-05
644,8.461174909592153e-05
645,8.062429143000713e-05
646,5.9991265075787155e-05
647,3.385538082762965e-05
648,3.277771705274918e-05
649,0.00022999415887193502
650,6.49235666344826e-05
651,0.00010123106000170549
652,3.0255617066206472e-05
653,4.4942084313084635e-05
654,8.461174909592153e-05
655,8.461174909592153e-05
656,9.226716797849218e-05
657,4.6212434981040124e-05
658,0.00033192400032681615
659,5.5395712172398854e-05
660,3.3592120947808416e-05
661,4.540121430718667e-05
662,3.385538082762965e-05
