kind,kappa_hat,r_emp
astroturf,3840.0,0.9617823362350464
astroturf,1689.623790693271,0.8930339217185974
astroturf,1683.5256691680152,0.8926694989204407
astroturf,1309.2877203016556,0.8643297553062439
astroturf,2539.1712878355415,0.9274079203605652
astroturf,1323.2757761213834,0.8656541705131531
astroturf,2031.5043678541397,0.9101470708847046
astroturf,1881.379103553199,0.9033557176589966
astroturf,2789.970184048376,0.9337027072906494
astroturf,1457.6496844446335,0.8771781325340271
astroturf,1834.3279260604138,0.9010114073753357
astroturf,1615.0630039669595,0.8884016275405884
astroturf,1348.9227453927979,0.8680168390274048
astroturf,1714.112175692259,0.8944728374481201
astroturf,1272.3829867357174,0.8607076406478882
astroturf,1674.2114744383643,0.8921080827713013
astroturf,1574.9282606409267,0.885738730430603
astroturf,2669.3513036312443,0.9308173060417175
astroturf,2053.3601810148343,0.91105717420578
astroturf,1626.9318280492391,0.8891655802726746
astroturf,1457.678561091093,0.8771803975105286
astroturf,2160.0776232452204,0.915249228477478
astroturf,1967.3125534787916,0.9073632955551147
astroturf,1547.0479239418744,0.8838131427764893
astroturf,1714.846588319818,0.8945153951644897
astroturf,1609.933437079784,0.8880681991577148
astroturf,1662.0103516812133,0.8913637399673462
astroturf,1772.4065748099772,0.8977476954460144
astroturf,1626.4834681293357,0.8891369104385376
astroturf,1752.6530857074079,0.8966609239578247
astroturf,1678.98057635277,0.8923962712287903
astroturf,2143.24280967291,0.9146143198013306
astroturf,1794.0203294214903,0.8989109992980957
astroturf,1746.2067984732628,0.89630126953125
astroturf,1289.5400978744094,0.8624151945114136
astroturf,1405.0682434005764,0.8729111552238464
astroturf,1600.0407151711624,0.8874195218086243
astroturf,1314.4155854688881,0.864818274974823
astroturf,2738.755238517139,0.9325074553489685
astroturf,1966.0267774345177,0.9073057770729065
astroturf,1334.2811099453436,0.8666782379150391
astroturf,1710.2369962717796,0.8942477107048035
astroturf,1134.2219399300352,0.845253586769104
astroturf,1561.882329688164,0.8848456740379333
astroturf,1617.1956716517543,0.8885396718978882
astroturf,1273.0251643762124,0.8607723116874695
astroturf,1651.2382189505634,0.8906980156898499
astroturf,2100.6257269204875,0.9129638075828552
astroturf,1427.0645793049794,0.8747315406799316
astroturf,1589.958074402667,0.8867506384849548
astroturf,1773.485640646234,0.8978064060211182
astroturf,1495.7429056743113,0.8800954222679138
astroturf,1536.4571252656594,0.8830646276473999
astroturf,1805.8967897794714,0.899539053440094
astroturf,1601.0291262258404,0.8874846696853638
astroturf,1744.4082454361576,0.8962004780769348
astroturf,1725.9997072333463,0.895157516002655
astroturf,1572.8879220442982,0.8855999708175659
astroturf,1413.0414530866453,0.8735770583152771
astroturf,1556.098082838673,0.8844452500343323
astroturf,1714.4155378923494,0.8944904208183289
astroturf,2132.481369731263,0.9142034649848938
astroturf,1310.4844319489785,0.8644440770149231
astroturf,1528.3445391596033,0.8824847340583801
astroturf,2362.2491733075713,0.9221979975700378
astroturf,2009.1266917062778,0.9091957807540894
astroturf,1689.0395191212206,0.8929991126060486
astroturf,1683.6857219161002,0.8926790952682495
astroturf,1998.146681015885,0.9087216258049011
astroturf,1496.8716697804557,0.880179762840271
astroturf,1400.0272714900245,0.8724865317344666
astroturf,1496.1575327088171,0.880126416683197
astroturf,1562.5980183918664,0.8848950266838074
astroturf,1360.4888825882438,0.8690555095672607
astroturf,1657.2354930002682,0.8910696506500244
astroturf,1642.1411589542838,0.8901294469833374
astroturf,2128.795725399367,0.9140618443489075
astroturf,2035.975566347521,0.9103347659111023
astroturf,1948.305479231567,0.9065057039260864
astroturf,1820.034192284907,0.9002766013145447
astroturf,2023.7508266454304,0.9098197221755981
astroturf,1081.2802114748658,0.8383904695510864
astroturf,1404.4714040537958,0.8728610277175903
astroturf,1428.153999906389,0.874820351600647
astroturf,2066.4178247700283,0.9115921854972839
astroturf,2016.254362305848,0.9095009565353394
astroturf,1649.5861593926584,0.8905951976776123
astroturf,1669.5254300922409,0.891823410987854
astroturf,1718.0689241370608,0.8947017192840576
astroturf,1759.0395520902207,0.8970147967338562
astroturf,1987.0882838583077,0.9082390666007996
astroturf,1785.902697446813,0.8984771966934204
astroturf,1896.7558495065286,0.9040980339050293
astroturf,1650.1499059344249,0.890630304813385
astroturf,2711.347263752389,0.9318499565124512
astroturf,1539.9917113138652,0.8833155035972595
astroturf,1655.3207936061858,0.8909512758255005
astroturf,1800.3329883069405,0.8992457985877991
astroturf,1699.4072959192804,0.8936134576797485
astroturf,1943.1988784745852,0.9062725901603699
astroturf,2335.4987036512744,0.9213445782661438
astroturf,1884.4272202001578,0.9035037755966187
astroturf,1540.6366027725878,0.8833611607551575
astroturf,1272.8398485928062,0.8607536554336548
astroturf,2501.9528756693435,0.9263706207275391
astroturf,1908.2972233863527,0.9046477675437927
astroturf,1702.6504860232249,0.8938041925430298
astroturf,1410.3072462781058,0.8733494877815247
astroturf,2033.779522270147,0.9102426767349243
astroturf,1408.6106378556715,0.8732078671455383
astroturf,1959.378226038635,0.9070072174072266
astroturf,1746.8639097959444,0.8963380455970764
astroturf,1439.5112552408584,0.875738799571991
astroturf,1644.497223877243,0.8902772665023804
astroturf,1830.1448631022092,0.9007974863052368
astroturf,1862.9666596961542,0.9024516344070435
astroturf,1514.8181021172184,0.881505012512207
astroturf,1871.6192288862185,0.9028785824775696
