cluster_id,n,n_unique_at_hi_gamma,frac_unclustered_at_hi,fragmentation_rate,frac_astroturf,frac_advocacy,y_astro,y_adv
0,60,5,0.0,0.08333333333333333,0.0,0.0,0,0
1,57,6,0.0,0.10526315789473684,0.0,0.8771929824561403,0,1
2,57,6,0.0,0.10526315789473684,0.0,0.0,0,0
3,57,7,0.0,0.12280701754385964,0.0,0.0,0,0
4,57,6,0.0,0.10526315789473684,0.0,0.0175438596491228,0,0
5,57,6,0.0,0.10526315789473684,0.0,0.0,0,0
6,57,6,0.0,0.10526315789473684,0.0,0.0,0,0
7,57,6,0.0,0.10526315789473684,0.0,0.0,0,0
8,57,5,0.0,0.08771929824561403,0.0,0.9824561403508772,0,1
9,57,6,0.0,0.10526315789473684,0.0,0.8421052631578947,0,1
10,57,6,0.0,0.10526315789473684,0.0,0.0,0,0
11,57,6,0.0,0.10526315789473684,0.0,0.0,0,0
12,57,5,0.0,0.08771929824561403,0.0,0.0,0,0
13,57,7,0.0,0.12280701754385964,0.0,0.0,0,0
14,56,3,0.0,0.05357142857142857,0.0,0.0,0,0
15,56,5,0.0,0.08928571428571429,0.0,0.0,0,0
16,55,5,0.0,0.09090909090909091,0.0,0.0,0,0
17,55,5,0.0,0.09090909090909091,0.0,0.0,0,0
18,55,3,0.0,0.05454545454545454,0.0,0.0,0,0
19,55,5,0.0,0.09090909090909091,0.0,0.0,0,0
20,55,5,0.0,0.09090909090909091,0.0,0.0,0,0
21,55,4,0.0,0.07272727272727272,0.0,0.0,0,0
22,55,2,0.0,0.03636363636363636,0.0,0.0,0,0
23,55,2,0.0,0.03636363636363636,0.0,0.0,0,0
24,55,6,0.0,0.10909090909090909,0.0,0.8363636363636363,0,1
25,55,5,0.0,0.09090909090909091,0.0,0.0,0,0
26,55,2,0.0,0.03636363636363636,0.0,0.0,0,0
27,54,6,0.0,0.1111111111111111,0.0,0.0,0,0
28,54,4,0.0,0.07407407407407407,0.0,0.6851851851851852,0,1
29,54,2,0.0,0.037037037037037035,0.0,0.0,0,0
30,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
31,54,4,0.0,0.07407407407407407,0.0,0.0,0,0
32,54,5,0.0,0.09259259259259259,0.0,0.7222222222222222,0,1
33,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
34,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
35,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
36,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
37,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
38,54,4,0.0,0.07407407407407407,0.0,0.0,0,0
39,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
40,54,3,0.0,0.05555555555555555,0.0,0.0,0,0
41,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
42,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
43,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
44,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
45,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
46,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
47,53,3,0.0,0.05660377358490566,0.0,0.0,0,0
48,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
49,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
50,53,5,0.0,0.09433962264150944,0.0,0.5283018867924528,0,1
51,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
52,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
53,53,7,0.0,0.1320754716981132,0.0,0.0,0,0
54,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
55,53,2,0.0,0.03773584905660377,0.0,0.0,0,0
56,53,2,0.0,0.03773584905660377,0.0,0.0,0,0
57,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
58,53,5,0.0,0.09433962264150944,0.0,0.0,0,0
59,53,6,0.0,0.11320754716981132,0.0,0.0,0,0
60,53,6,0.0,0.11320754716981132,0.0,0.0,0,0
61,53,3,0.0,0.05660377358490566,0.0,0.0,0,0
62,53,3,0.0,0.05660377358490566,0.0,0.0,0,0
63,53,4,0.0,0.07547169811320754,0.0,0.0,0,0
64,52,3,0.0,0.057692307692307696,0.0,0.6730769230769231,0,1
65,52,4,0.0,0.07692307692307693,0.0,0.0,0,0
66,52,6,0.0,0.11538461538461539,0.0,0.0,0,0
67,52,5,0.0,0.09615384615384616,0.0,0.6538461538461539,0,1
68,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
69,52,6,0.0,0.11538461538461539,0.0,0.0,0,0
70,52,6,0.0,0.11538461538461539,0.0,0.0961538461538461,0,0
71,52,4,0.0,0.07692307692307693,0.0,0.0,0,0
72,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
73,52,9,0.0,0.17307692307692307,0.0,0.3269230769230769,0,0
74,52,4,0.0,0.07692307692307693,0.0,0.903846153846154,0,1
75,52,2,0.0,0.038461538461538464,0.0,0.0,0,0
76,52,2,0.0,0.038461538461538464,0.0,0.0,0,0
77,52,7,0.0,0.1346153846153846,0.0,0.0,0,0
78,52,4,0.0,0.07692307692307693,0.0,0.0,0,0
79,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
80,52,2,0.0,0.038461538461538464,0.0,0.0,0,0
81,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
82,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
83,52,7,0.0,0.1346153846153846,0.0,0.0,0,0
84,52,3,0.0,0.057692307692307696,0.0,0.5961538461538461,0,1
85,52,1,0.0,0.019230769230769232,0.0,0.0,0,0
86,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
87,52,1,0.0,0.019230769230769232,0.0,0.0,0,0
88,52,4,0.0,0.07692307692307693,0.0,0.5961538461538461,0,1
89,52,3,0.0,0.057692307692307696,0.0,0.0,0,0
90,51,7,0.0,0.13725490196078433,0.0,0.0,0,0
91,51,5,0.0,0.09803921568627451,0.0,0.0,0,0
92,51,5,0.0,0.09803921568627451,0.0,0.0,0,0
93,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
94,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
95,51,4,0.0,0.0784313725490196,0.0,0.0,0,0
96,51,4,0.0,0.0784313725490196,0.0,0.9803921568627452,0,1
97,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
98,51,6,0.0,0.11764705882352941,0.0,0.0,0,0
99,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
100,51,6,0.0,0.11764705882352941,0.0,0.0,0,0
101,51,5,0.0,0.09803921568627451,0.0,0.0,0,0
102,51,4,0.0,0.0784313725490196,0.0,0.0,0,0
103,51,4,0.0,0.0784313725490196,0.0,0.0,0,0
104,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
105,51,4,0.0,0.0784313725490196,0.0,0.0,0,0
106,51,5,0.0,0.09803921568627451,0.0,0.0,0,0
107,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
108,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
109,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
110,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
111,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
112,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
113,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
114,51,2,0.0,0.0392156862745098,0.0,0.0,0,0
115,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
116,51,1,0.0,0.0196078431372549,0.0,0.0,0,0
117,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
