method,k,precision,recall
LRT (log_e),1,0.0,0.0
LRT (log_e),51,0.0,0.0
LRT (log_e),101,0.0,0.0
LRT (log_e),151,0.0,0.0
LRT (log_e),201,0.0,0.0
LRT (log_e),251,0.0,0.0
LRT (log_e),301,0.0,0.0
LRT (log_e),351,0.0,0.0
LRT (log_e),401,0.0,0.0
LRT (log_e),451,0.0,0.0
LRT (log_e),501,0.0,0.0
LRT (log_e),551,0.0,0.0
LRT (log_e),601,0.0,0.0
LRT (log_e),651,0.0,0.0
LRT (log_e),701,0.0,0.0
LRT (log_e),751,0.0,0.0
LRT (log_e),801,0.0,0.0
LRT (log_e),851,0.0,0.0
LRT (log_e),901,0.0,0.0
LRT (log_e),951,0.0,0.0
LRT (log_e),1001,0.0,0.0
LRT (log_e),1051,0.0,0.0
LRT (log_e),1101,0.0,0.0
LRT (log_e),1151,0.0,0.0
LRT (log_e),1201,0.0,0.0
LRT (log_e),1251,0.0,0.0
LRT (log_e),1301,0.0,0.0
LRT (log_e),1351,0.0,0.0
LRT (log_e),1401,0.0,0.0
LRT (log_e),1451,0.0,0.0
LRT (log_e),1501,0.0,0.0
LRT (log_e),1551,0.0,0.0
LRT (log_e),1601,0.0,0.0
LRT (log_e),1651,0.0,0.0
LRT (log_e),1701,0.0,0.0
LRT (log_e),1751,0.0,0.0
LRT (log_e),1801,0.0,0.0
LRT (log_e),1851,0.0,0.0
LRT (log_e),1901,0.0,0.0
LRT (log_e),1951,0.0,0.0
LRT (log_e),2001,0.0,0.0
LRT (log_e),2051,0.0,0.0
LRT (log_e),2101,0.0,0.0
LRT (log_e),2151,0.0,0.0
LRT (log_e),2201,0.0,0.0
LRT (log_e),2251,0.0,0.0
LRT (log_e),2301,0.0,0.0
LRT (log_e),2351,0.0,0.0
LRT (log_e),2401,0.0,0.0
LRT (log_e),2451,0.0004079967360261118,0.00016469038208168644
LRT (log_e),2501,0.00039984006397441024,0.00016469038208168644
LRT (log_e),2551,0.0003920031360250882,0.00016469038208168644
LRT (log_e),2601,0.0007689350249903883,0.00032938076416337287
LRT (log_e),2651,0.0007544322897019992,0.00032938076416337287
LRT (log_e),2701,0.0007404664938911515,0.00032938076416337287
LRT (log_e),2751,0.0007270083605961468,0.00032938076416337287
LRT (log_e),2801,0.0007140307033202428,0.00032938076416337287
LRT (log_e),2851,0.0007015082427218519,0.00032938076416337287
LRT (log_e),2901,0.0006894174422612892,0.00032938076416337287
LRT (log_e),2951,0.0013554727211114877,0.0006587615283267457
LRT (log_e),3001,0.0013328890369876708,0.0006587615283267457
LRT (log_e),3051,0.0019665683382497543,0.0009881422924901185
LRT (log_e),3101,0.0025798129635601417,0.0013175230566534915
LRT (log_e),3151,0.0025388765471278957,0.0013175230566534915
LRT (log_e),3201,0.002499218994064355,0.0013175230566534915
