cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
24346,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14537,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14536,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24271,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24247,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14555,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24230,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23805,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23818,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23844,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23857,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23879,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23888,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23928,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24051,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14554,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14553,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24093,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14552,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24107,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24116,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24137,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24146,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4391,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4390,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24167,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24199,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24221,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14600,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14601,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14602,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14667,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14665,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14664,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14663,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14662,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14661,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14660,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14659,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14658,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14657,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14656,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14655,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14654,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14653,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14652,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14651,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4519,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14650,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14649,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14648,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4515,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4514,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14666,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14668,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14646,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14669,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14687,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14686,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14685,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14684,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14683,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14682,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14681,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14680,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14679,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14678,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4549,11,11,1.0,11,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14677,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14676,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14675,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14674,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14673,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14672,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4542,11,11,1.0,11,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4541,11,11,1.0,11,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14671,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
