cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98,y_astro,span_days,H_day,H_state,H_email,stat_time,stat_geo,stat_email,log_e_time,log_e_geo,log_e_email,log_e_multi5,log_e_multi4_noverb,log_e_para_time,log_e_para_time_geo
0,60,0.999999,0.1166666666666666,-1.0333819860741404,247.31244178905604,246.6192946084961,-1.24561491933224,-1.1750401747581596,-1.1104202361438116,-0.6987318324385623,0,386.0,0.1563384861909699,0.04777007507817335,0.29716633643245444,0.8436615138090301,0.9522299249218267,0.7028336635675456,0.06967737999256451,-0.5178788421944303,0.08679074659947705,245.70300387662195,-0.2502529568723244,-0.33689764479318013,-0.39366164875357035
1,57,0.999999,0.087719298245614,-0.9913381470654152,266.0508610344553,265.35771385389535,-1.2297710576759575,-1.2072249230123022,-0.9901614848782108,-0.6512050723640087,0,463.0,0.2319524511219698,0.056025171107558974,0.4052534979437071,0.7680475488780302,0.943974828892441,0.594746502056293,0.4790606379725145,-0.3346586390218691,0.3357372992833101,264.4414231220212,0.024739103612542834,-0.007207494019778604,-0.10490907983160269
2,57,0.1052631578947368,0.1052631578947368,-0.9878151553374226,-0.3428870665624624,-0.6142363989444244,-1.1684295667744795,-1.1805594649804854,-1.0581699889275358,-0.6452990885075063,0,6.0,0.4568749999999999,0.5,0.5,0.5431250000000001,0.5,0.5,0.7610264874670926,-0.628185911342682,0.4126659465849505,0.05201906411965651,0.13042737225051515,0.22827503352490142,0.015355013950566931
3,57,0.999999,0.1403508771929824,-1.0508208720254868,247.31244178905604,246.6192946084961,-1.1676132841037434,-1.213498361366907,-1.1759731305793828,-0.7301860008883498,0,340.0,0.15617326933477554,0.05012561713933437,0.2930317168439395,0.8438267306652245,0.9498743828606656,0.7069682831560604,0.068430025965587,-0.4704626848929374,0.0740429756619223,245.70300387662195,-0.2478069118789603,-0.3421549389889187,-0.3831218573673594
4,57,0.087719298245614,0.1052631578947368,-1.0055795155001008,0.4145586225635531,-0.0621227498248863,-1.197332243152934,-1.2072249230123022,-1.0761999183823656,-0.6512050723640087,0,43.0,0.29016620498614953,0.05436288088642657,0.5,0.7098337950138505,0.9456371191135734,0.5,0.6500921456538246,-0.3628100513759014,0.4149713638814032,0.1832042238087077,0.11591370309228033,0.13170781813458776,-0.007606024150352608
5,57,0.1052631578947368,0.1052631578947368,-1.0055795155001008,-0.2526363324549867,-0.5598557993063479,-1.197332243152934,-1.2072249230123022,-1.0761999183823656,-0.6512050723640087,0,6.0,0.7290298367423531,0.5,0.5,0.2709701632576469,0.5,0.5,-0.13656143716586655,-0.5370440595778927,0.4149713638814032,-0.19510621020043728,-0.18122634566542817,-0.4795003475028884,-0.4983160505701245
6,57,0.999999,0.1052631578947368,-1.019010323847104,241.17092089385503,240.47777371329508,-1.1684295667744795,-1.1805594649804854,-1.0581699889275358,-0.7365643361885478,0,239.0,0.1563876209053068,0.07609733700642789,0.42276311350986684,0.8436123790946932,0.9239026629935722,0.5772368864901332,0.0722046501796978,-0.056843785702501703,0.35830250943798037,239.56148298142094,-0.04828011769938345,-0.33140599292161,-0.23127278584995015
7,57,0.999999,0.1228070175438596,-1.0325144688828063,241.17092089385503,240.47777371329508,-1.1684295667744795,-1.1805594649804854,-1.1155832626168607,-0.7365643361885478,0,80.0,0.26827934434196554,0.08446569674226835,0.395983131384053,0.7317206556580345,0.9155343032577317,0.6040168686159471,0.6030316374781874,0.027290888918181544,0.3237493011956607,239.56148298142094,0.1383977535755203,0.08790170983494161,0.06810349884738032
8,57,0.999999,0.087719298245614,-0.982153203798404,247.31244178905604,246.6192946084961,-1.2385224445324154,-1.1828678023046406,-0.9901033708957072,-0.6343761276399369,0,399.0,0.18900748180901564,0.0730478589420655,0.34107937091391755,0.8109925181909844,0.9269521410579344,0.6589206290860825,0.28327930549417935,-0.12213858337457517,0.20532075952346318,245.70300387662195,-0.04737353748586681,-0.1613550609859421,-0.14811128323508405
9,57,0.999999,0.1052631578947368,-1.0398181557571502,266.0508610344553,265.35771385389535,-1.197332243152934,-1.2072249230123022,-1.0761999183823656,-0.7504318021848725,0,368.0,0.19706662620408796,0.053938073718771094,0.3925957896364248,0.802933373795912,0.9460619262812289,0.6074042103635753,0.3243463303436356,-0.3701828495846775,0.31740747948061765,264.4414231220212,-0.051078737861953494,-0.14119197192567534,-0.21185202209863419
10,57,0.087719298245614,0.1052631578947368,-1.017773037400338,0.5058782161924591,0.0098712275226786,-1.21348426765875,-1.2255039330256237,-1.0828557089331745,-0.6612637986968093,0,12.0,0.37896825396825395,0.07624716553287979,0.5,0.621031746031746,0.9237528344671202,0.5,0.7778867242678759,-0.07741181376836992,0.4362474552526949,0.28804812597035867,0.22527450302563667,0.23833396940044116,0.14374662635402147
