statistic,AP,k_rejected,precision_astro,recall_astro,g0_mean,g1_mean
fragmentation rate (ours),0.857284341319716,5755,0.8681146828844483,0.8227931488801054,0.4315076564030937,0.9012918085670691
entropy of sub-cluster sizes,0.856695527250803,0,0.0,0.0,0.39084555801785137,0.6834309129441317
Gini diversity of sub-clusters,0.8351461898109989,0,0.0,0.0,0.5382411383068116,0.8757129347855878
-vMF concentration κ (negated),0.6848053063685517,1225,0.6848979591836735,0.1381752305665349,0.29334255688136274,0.7229612506093794
+vMF concentration κ (natural),0.2431295639997611,3537,0.0,0.0,0.2770387493906205,0.7066574431186371
-split-LRT vMF (negated),0.5326528104517313,8605,0.5965136548518303,0.8453557312252964,0.1536370096004288,0.6107234893532163
