label,base_rate,AP_para_multi,AP_verb,AP_full,k_para_multi,k_verb,k_full,prec_para_multi,prec_verb,prec_full,rec_para_multi,rec_verb,rec_full
y_astro,0.3855727711455423,0.8354395244210232,0.37137637928769895,0.4985154680296577,7516,2368,9768,0.8005588078765301,0.0,0.615990990990991,0.9909420289855072,0.0,0.9909420289855072
y_adv,0.025463550927101855,0.018560726418208003,0.05339240179921774,0.04499054446779987,7516,2368,9768,0.008914316125598723,0.06883445945945946,0.02375102375102375,0.16708229426433915,0.40648379052369077,0.5785536159600998
y_template_5,0.19608839217678437,0.11937284635931011,0.940816577782226,0.7426283898228269,7516,2368,9768,0.023283661522086215,1.0,0.24846437346437347,0.05667098445595855,0.7668393782383419,0.7859455958549223
y_template_50,0.0760731521463043,0.04436426056369267,0.6600550964187328,0.6600550964187328,7516,2368,9768,0.009978712080894092,0.5059121621621622,0.12264537264537265,0.06260434056761269,1.0,1.0
y_template_500,0.009715519431038861,0.00537448952852747,0.08429752066115702,0.08429752066115702,7516,2368,9768,0.00026609898882384245,0.06461148648648649,0.015663390663390665,0.013071895424836602,1.0,1.0
