embedding,tau,g0_mean,g1_mean,g0_weight,AP,k_rejected,precision_astro,precision_adv,recall_astro
mpnet-base-v2,0.85,0.08187129067956776,0.12070050989675905,0.5376598643306602,0.6197660573372626,0,0.0,0.0,0.0
mpnet-base-v2,0.9,0.10839248786710932,0.11757606511234425,0.49108661266416376,0.5899214559895029,0,0.0,0.0,0.0
mpnet-base-v2,0.93,0.11752049648010372,0.17627177682132744,0.4112430614611513,0.3154782324492733,7451,0.17742584887934507,0.03650516709166555,0.21772068511198947
mpnet-base-v2,0.95,0.17418295643420043,0.5607913988197565,0.8386883327367217,0.4360831269129054,713,0.25245441795231416,0.015427769985974754,0.029644268774703556
mpnet-base-v2,0.97,0.3962765960794903,0.7689385626340338,0.7285391183842206,0.6403899894747003,1783,0.6618059450364554,0.005047672462142457,0.19433465085638998
mpnet-base-v2,0.98,0.31963690055592353,0.7601029417480025,0.25861194722266356,0.7583578066942606,5543,0.7762944254014071,0.006855493415118167,0.7086627140974967
