gamma_fine,g0_mean,g1_mean,g0_weight,AP,k_rejected_eBH,precision_astro,recall_astro
0.93,0.36635377602184155,0.9983387897746073,0.9950304913995197,0.5828005184262666,78,0.6153846153846154,0.007905138339920948
0.94,0.426190894636408,0.9982547920587339,0.9883942814696646,0.6256823511266323,182,0.5659340659340659,0.016963109354413704
0.96,0.34707795270207475,0.6573855629439931,0.20279893263837212,0.8145324769977347,2595,0.8466281310211946,0.3618247694334651
0.97,0.4315076564030937,0.9012918085670691,0.4890776827364322,0.857284341319716,5755,0.8681146828844483,0.8227931488801054
