label_source,n_pos,base_rate,AP,k_rejected,precision,recall
NYAG paid astroturf (primary),6072,0.3855727711455423,0.857284341319716,5755,0.8681146828844483,0.8227931488801054
Any NYAG-attributed (FOIA paid + advocacy),7254,0.46062992125984253,0.8491803730490902,5755,0.8905299739357081,0.7065067548938516
Keyword classifier ONLY (no FOIA): pro/anti/mixed,13020,0.8267716535433071,0.7595225157306543,5755,0.7252823631624674,0.3205837173579109
Keyword: pro-NN OR anti-NN coordination,12790,0.8121666243332487,0.741517375390502,5755,0.7035621198957428,0.3165754495699765
NYAG paid OR NYAG advocacy,6473,0.4110363220726441,0.8501867408458942,5755,0.8754126846220678,0.7783099026726402
Expanded coordination (FOIA + keyword),15243,0.9679324358648718,0.9777568089715107,5755,0.9883579496090357,0.37315489076953356
