scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.05,49,1399,0.005003573981415297,0.5585874799357945
S1_correct,0.5,0.1,49,1710,0.008771929824561403,0.6801765650080257
S1_correct,0.5,0.15,49,1846,0.010292524377031419,0.7331460674157303
S1_correct,0.5,0.2,49,1951,0.013839056893900564,0.7720706260032103
S1_correct,0.5,0.05,50,1474,0.005427408412483039,0.5847626645392899
S1_correct,0.5,0.1,50,1749,0.005145797598627788,0.6940566414040686
S1_correct,0.5,0.15,50,1886,0.007953340402969246,0.7463103310729956
S1_correct,0.5,0.2,50,2002,0.013486513486513486,0.7877941763063422
S1_correct,0.5,0.05,51,1415,0.0014134275618374558,0.5569570358691368
S1_correct,0.5,0.1,51,1729,0.003470213996529786,0.6791486007094995
S1_correct,0.5,0.15,51,1886,0.009013785790031814,0.7366968860859283
S1_correct,0.5,0.2,51,1975,0.011139240506329114,0.7698068584942845
S1_correct,0.5,0.05,52,1442,0.0034674063800277394,0.5700119000396668
S1_correct,0.5,0.1,52,1704,0.00528169014084507,0.6723522411741373
S1_correct,0.5,0.15,52,1884,0.01167728237791932,0.7385957953193177
S1_correct,0.5,0.2,52,1995,0.012531328320802004,0.7814359381197937
S1_correct,0.5,0.05,53,1398,0.00357653791130186,0.564653425212809
S1_correct,0.5,0.1,53,1697,0.0058927519151443725,0.6838265099310904
S1_correct,0.5,0.15,53,1848,0.0091991341991342,0.7421970004053506
S1_correct,0.5,0.2,53,1961,0.013768485466598673,0.7839481151195784
S1_correct,0.5,0.05,54,1407,0.006396588486140725,0.5648484848484848
S1_correct,0.5,0.1,54,1713,0.007589025102159953,0.6868686868686869
S1_correct,0.5,0.15,54,1855,0.011320754716981131,0.741010101010101
S1_correct,0.5,0.2,54,1966,0.011190233977619531,0.7854545454545454
S1_correct,0.5,0.05,55,1479,0.002028397565922921,0.6074074074074074
S1_correct,0.5,0.1,55,1743,0.006310958118187034,0.7127572016460906
S1_correct,0.5,0.15,55,1895,0.011609498680738786,0.7707818930041153
S1_correct,0.5,0.2,55,1987,0.013085052843482638,0.8069958847736626
S1_correct,0.5,0.05,56,1413,0.0021231422505307855,0.5678614579138139
S1_correct,0.5,0.1,56,1669,0.004194128220491312,0.6693515908175593
S1_correct,0.5,0.15,56,1831,0.010376843255051884,0.7297623842126459
S1_correct,0.5,0.2,56,1925,0.015584415584415584,0.7631896898912606
S1_correct,0.5,0.05,57,1439,0.005559416261292564,0.5843201306655778
S1_correct,0.5,0.1,57,1695,0.007079646017699115,0.6872192731727236
S1_correct,0.5,0.15,57,1815,0.009366391184573003,0.7341772151898734
S1_correct,0.5,0.2,57,1914,0.011494252873563218,0.7725602286647612
S1_correct,0.5,0.05,58,1450,0.001379310344827586,0.5654041390082
S1_correct,0.5,0.1,58,1736,0.004032258064516129,0.6751269035532995
S1_correct,0.5,0.15,58,1880,0.006382978723404255,0.7294025771183131
S1_correct,0.5,0.2,58,1980,0.009595959595959595,0.7657165169855525
S1_correct,0.5,0.05,59,1337,0.0007479431563201197,0.5384925433293027
S1_correct,0.5,0.1,59,1678,0.004767580452920143,0.6731156791616284
S1_correct,0.5,0.15,59,1823,0.007131102578167855,0.7295445384925433
S1_correct,0.5,0.2,59,1928,0.00933609958506224,0.7698508665860541
S1_correct,0.5,0.05,60,1472,0.005434782608695652,0.5786561264822134
S1_correct,0.5,0.1,60,1778,0.009561304836895388,0.6960474308300395
S1_correct,0.5,0.15,60,1935,0.011369509043927648,0.7561264822134387
S1_correct,0.5,0.2,60,2030,0.013300492610837438,0.791699604743083
S1_correct,0.5,0.05,61,1528,0.004581151832460733,0.6140492531287848
S1_correct,0.5,0.1,61,1764,0.006235827664399093,0.707710940654017
S1_correct,0.5,0.15,61,1887,0.008479067302596715,0.7553492127573678
S1_correct,0.5,0.2,61,1986,0.012084592145015106,0.7920872022607993
S1_correct,0.5,0.05,62,1284,0.003894080996884735,0.5259046052631579
S1_correct,0.5,0.1,62,1604,0.011845386533665835,0.6517269736842105
S1_correct,0.5,0.15,62,1760,0.014204545454545454,0.7134046052631579
S1_correct,0.5,0.2,62,1865,0.017158176943699734,0.7537006578947368
