cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98
0,60,0.999999,0.11666666666666667,-1.0333819860741404,247.31244178905604,246.6192946084961,-1.2456149193322401,-1.1750401747581596,-1.1104202361438116,-0.6987318324385623
1,57,0.999999,0.08771929824561403,-0.9913381470654153,266.0508610344553,265.35771385389535,-1.2297710576759577,-1.2072249230123022,-0.9901614848782107,-0.6512050723640087
2,57,0.10526315789473684,0.10526315789473684,-0.9878151553374226,-0.3428870665624624,-0.6142363989444244,-1.1684295667744795,-1.1805594649804854,-1.0581699889275358,-0.6452990885075063
3,57,0.999999,0.14035087719298245,-1.0508208720254868,247.31244178905604,246.6192946084961,-1.1676132841037434,-1.213498361366907,-1.1759731305793828,-0.7301860008883498
4,57,0.08771929824561403,0.10526315789473684,-1.0055795155001008,0.41455862256355314,-0.0621227498248863,-1.1973322431529339,-1.2072249230123022,-1.0761999183823656,-0.6512050723640087
5,57,0.10526315789473684,0.10526315789473684,-1.0055795155001008,-0.25263633245498673,-0.5598557993063479,-1.1973322431529339,-1.2072249230123022,-1.0761999183823656,-0.6512050723640087
6,57,0.999999,0.10526315789473684,-1.019010323847104,241.17092089385503,240.47777371329508,-1.1684295667744795,-1.1805594649804854,-1.0581699889275358,-0.7365643361885478
7,57,0.999999,0.12280701754385964,-1.0325144688828063,241.17092089385503,240.47777371329508,-1.1684295667744795,-1.1805594649804854,-1.1155832626168607,-0.7365643361885478
8,57,0.999999,0.08771929824561403,-0.982153203798404,247.31244178905604,246.6192946084961,-1.2385224445324154,-1.1828678023046406,-0.9901033708957073,-0.6343761276399369
9,57,0.999999,0.10526315789473684,-1.0398181557571502,266.0508610344553,265.35771385389535,-1.1973322431529339,-1.2072249230123022,-1.0761999183823656,-0.7504318021848725
10,57,0.08771929824561403,0.10526315789473684,-1.017773037400338,0.5058782161924591,0.00987122752267866,-1.21348426765875,-1.2255039330256237,-1.0828557089331745,-0.6612637986968093
11,57,0.999999,0.10526315789473684,-1.0055795155001008,266.0508610344553,265.35771385389535,-1.1973322431529339,-1.2072249230123022,-1.0761999183823656,-0.6512050723640087
12,57,0.05263157894736842,0.08771929824561403,-0.9612851168301915,3.165847061703162,2.4887002575136914,-1.269153441434745,-1.182325530616601,-1.0029148197371383,-0.5531045576964803
13,57,0.999999,0.10526315789473684,-1.0432995983509716,266.0508610344553,265.35771385389535,-1.1973322431529339,-1.2237963831400458,-1.0761999183823656,-0.7504318021848725
14,56,0.07142857142857142,0.07142857142857142,-0.8489600152515852,1.0801317339305492,0.5226337799728397,-1.2772865408152738,-1.082617197919444,-0.8924865243459155,-0.37935580648846257
15,56,0.999999,0.08928571428571429,-0.9960438668082338,247.31244178905604,246.6192946084961,-1.2772865408152738,-1.1853992688629296,-0.9981302479882851,-0.645565382725939
16,55,0.999999,0.09090909090909091,-0.9542684038135354,266.0508610344553,265.35771385389535,-1.2243642515307864,-1.1830008641858614,-1.0076625669140986,-0.5533830623595686
17,55,0.999999,0.07272727272727272,-0.9968192161132825,281.4394549431443,280.74630776258437,-1.3065400366670707,-1.2078801482454486,-0.9112868097507574,-0.6839617228880652
18,55,0.09090909090909091,0.07272727272727272,-0.9452983364266597,0.13781602288877925,-0.26375202735611497,-1.2479914646487855,-1.060210064657471,-0.8978970727908578,-0.6667679756321813
19,55,0.07272727272727272,0.09090909090909091,-0.9940449109137782,1.008829610309131,0.44226822292083334,-1.2330719135754626,-1.1878838392396247,-1.0062332167051895,-0.6569085191969303
20,55,0.05454545454545454,0.09090909090909091,-1.0098102617726852,2.975953068820962,2.3012136780828167,-1.2350960639802564,-1.1887291478125348,-1.0192887836566769,-0.6913769042365502
