cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
9662,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7132,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7130,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7129,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7127,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7126,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7125,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7124,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7123,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7122,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7121,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7120,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7119,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7118,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7117,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7116,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7115,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7114,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7113,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7112,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7111,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7110,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7109,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7108,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7107,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7106,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7105,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7103,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7102,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7101,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7100,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7131,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7133,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7174,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7134,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7171,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7170,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7168,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7167,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7166,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7165,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7164,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7163,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7162,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7161,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7160,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7159,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
