,cands,rej,astro>=0.5,astro_pct,adv>=0.5
Leiden γ=0.90,15748.0,15748.0,6072.0,38.55727711455423,401.0
Connected-Components,111.0,111.0,0.0,0.0,30.0
HDBSCAN,309.0,309.0,1.0,0.32362459546925565,24.0
