gamma,candidates_n_geq_8,rejections,rej_pct,astro,astro_pct,astro_recall_pct
0.85,16611,16607,99.97591957136837,6171,37.15902932498344,100.0
0.88,16429,16425,99.97565280905715,6165,37.534246575342465,100.0
0.9,15748,15744,99.9745999491999,6072,38.56707317073171,100.0
