cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
11971,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11758,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8649,6,6,1.0,6,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8650,6,6,1.0,6,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11314,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13687,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13688,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7244,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
12054,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11425,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
6906,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14312,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14311,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11759,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14308,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13677,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14307,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13713,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13859,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13714,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13715,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13717,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13719,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13721,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13723,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
6898,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13725,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11754,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11315,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13676,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13731,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11394,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11366,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
5652,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14139,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
12120,5,5,1.0,5,1.0,0,0.0,astroturf:likely Fluent
11361,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
9340,6,6,1.0,6,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11357,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
12095,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
6947,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8853,6,6,1.0,6,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14617,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11393,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
12079,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13675,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11338,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11333,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11330,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11329,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11328,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11327,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8640,6,6,1.0,6,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11174,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11325,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11320,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11177,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11317,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
13730,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
12039,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11689,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11668,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7047,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11494,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11978,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8691,6,6,1.0,6,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11982,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11984,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11676,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11965,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11675,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11672,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11980,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7385,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11670,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11981,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11969,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11749,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11741,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
5791,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11663,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11667,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11968,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11974,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11659,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11665,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11664,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
7889,7,3,0.42857142857142855,3,0.42857142857142855,0,0.0,astroturf:likely Fluent
1408,20,2,0.1,2,0.1,0,0.0,astroturf:anonymous (HMA)
2829,13,11,0.8461538461538461,1,0.07692307692307693,10,0.7692307692307693,advocacy:Demand Progress
9786,6,0,0.0,0,0.0,0,0.0,
9785,6,0,0.0,0,0.0,0,0.0,
9836,6,0,0.0,0,0.0,0,0.0,
9788,6,0,0.0,0,0.0,0,0.0,
9787,6,0,0.0,0,0.0,0,0.0,
9792,6,0,0.0,0,0.0,0,0.0,
9789,6,0,0.0,0,0.0,0,0.0,
9790,6,0,0.0,0,0.0,0,0.0,
9835,6,0,0.0,0,0.0,0,0.0,
9791,6,0,0.0,0,0.0,0,0.0,
9811,6,0,0.0,0,0.0,0,0.0,
9837,6,0,0.0,0,0.0,0,0.0,
