label,detector,base_rate,k_rejected,AP,precision,recall,rejection_rate
y_astro,E_para_g0.95,0.3855727711455423,2520,0.7387000779270522,0.7841269841269841,0.3254281949934124,0.16002032004064007
y_astro,E_para_g0.96,0.3855727711455423,2917,0.8167044361387709,0.8258484744600617,0.3967391304347826,0.18522987045974093
y_astro,E_para_g0.97,0.3855727711455423,5757,0.8566667617581943,0.8678130970991836,0.8227931488801054,0.3655702311404623
y_astro,E_para_g0.98,0.3855727711455423,7476,0.8046361404205957,0.8048421615837347,0.9909420289855072,0.4747269494538989
y_astro,E_para_multi,0.3855727711455423,7605,0.827479479125681,0.7914529914529914,0.9912714097496707,0.48291846583693165
y_astro,E_verb,0.3855727711455423,2380,0.2487333819481252,0.0,0.0,0.15113030226060453
y_astro,E_full,0.3855727711455423,9854,0.49829317006273643,0.6106149786888573,0.9909420289855072,0.6257302514605029
y_adv,E_para_g0.95,0.025463550927101855,2520,0.019687599438092535,0.013492063492063493,0.08478802992518704,0.16002032004064007
y_adv,E_para_g0.96,0.025463550927101855,2917,0.018721438456036826,0.012684264655467946,0.09226932668329177,0.18522987045974093
y_adv,E_para_g0.97,0.025463550927101855,5757,0.01737247369411855,0.007295466388744137,0.10473815461346633,0.3655702311404623
y_adv,E_para_g0.98,0.025463550927101855,7476,0.016682910926457833,0.008560727661851257,0.1596009975062344,0.4747269494538989
y_adv,E_para_multi,0.025463550927101855,7605,0.018130123773025107,0.008941485864562788,0.16957605985037408,0.48291846583693165
y_adv,E_verb,0.025463550927101855,2380,0.055369293436712194,0.07058823529411765,0.41895261845386533,0.15113030226060453
y_adv,E_full,0.025463550927101855,9854,0.04118986430621514,0.023949665110614977,0.5885286783042394,0.6257302514605029
y_template_5,E_para_g0.95,0.19608839217678437,2520,0.12069614555531613,0.011507936507936509,0.00939119170984456,0.16002032004064007
y_template_5,E_para_g0.96,0.19608839217678437,2917,0.11813587114748324,0.01062735687350017,0.010038860103626942,0.18522987045974093
y_template_5,E_para_g0.97,0.19608839217678437,5757,0.11538739784352746,0.01024839326037867,0.01910621761658031,0.3655702311404623
y_template_5,E_para_g0.98,0.19608839217678437,7476,0.11609599228569725,0.023006955591225255,0.05569948186528497,0.4747269494538989
y_template_5,E_para_multi,0.19608839217678437,7605,0.11464342248510223,0.023800131492439185,0.0586139896373057,0.48291846583693165
y_template_5,E_verb,0.19608839217678437,2380,0.9087782218069195,0.9928571428571429,0.7652202072538861,0.15113030226060453
y_template_5,E_full,0.19608839217678437,9854,0.6958627381248382,0.24710777349299776,0.7885362694300518,0.6257302514605029
y_template_50,E_para_g0.95,0.0760731521463043,2520,0.0436405508846317,0.0003968253968253968,0.0008347245409015025,0.16002032004064007
y_template_50,E_para_g0.96,0.0760731521463043,2917,0.04318064356021515,0.00034281796366129587,0.0008347245409015025,0.18522987045974093
y_template_50,E_para_g0.97,0.0760731521463043,5757,0.043728056557168174,0.001563314226159458,0.007512520868113523,0.3655702311404623
y_template_50,E_para_g0.98,0.0760731521463043,7476,0.045952008404124965,0.009898341359015517,0.06176961602671119,0.4747269494538989
y_template_50,E_para_multi,0.0760731521463043,7605,0.04247442792703861,0.009861932938856016,0.06260434056761269,0.48291846583693165
y_template_50,E_verb,0.0760731521463043,2380,0.6484262531980561,0.5033613445378151,1.0,0.15113030226060453
y_template_50,E_full,0.0760731521463043,9854,0.6484262531980561,0.1215749949259184,1.0,0.6257302514605029
y_template_500,E_para_g0.95,0.009715519431038861,2520,0.005462675275153626,0.0,0.0,0.16002032004064007
y_template_500,E_para_g0.96,0.009715519431038861,2917,0.0053560776196074295,0.0,0.0,0.18522987045974093
y_template_500,E_para_g0.97,0.009715519431038861,5757,0.005507987395780382,0.00017370158068438424,0.006535947712418301,0.3655702311404623
y_template_500,E_para_g0.98,0.009715519431038861,7476,0.005686948719420271,0.00026752273943285177,0.013071895424836602,0.4747269494538989
y_template_500,E_para_multi,0.009715519431038861,7605,0.005271100341981683,0.00026298487836949375,0.013071895424836602,0.48291846583693165
y_template_500,E_verb,0.009715519431038861,2380,0.08196803474251951,0.06428571428571428,1.0,0.15113030226060453
y_template_500,E_full,0.009715519431038861,9854,0.08196803474251951,0.01552668966916988,1.0,0.6257302514605029
