K,pi0,alpha,dep,rho,fdr_mean,fdr_se,fdr_lo,fdr_hi,power_mean,power_se
2000,0.5,0.05,independent,0.0,0.007999927048055265,0.00039243536673278217,0.0,0.019896551724137932,0.6432643387233721,0.0042277286605059234
2000,0.5,0.1,independent,0.0,0.011616537618261034,0.0005231419736927274,0.0,0.02425055427930335,0.67318333494558,0.003707448416604432
2000,0.5,0.15,independent,0.0,0.015574154170314497,0.0006195858418780758,0.0,0.03289456655915265,0.6873523686408248,0.0036973207547504354
2000,0.5,0.2,independent,0.0,0.01805311920901931,0.000743857827818602,0.0,0.039818115898241586,0.6982064539893704,0.0034070093894499696
2000,0.7,0.05,independent,0.0,0.0013879683768342906,0.00021014957539738807,0.0,0.008225448138501616,0.5172485436219418,0.0038095064971933883
2000,0.7,0.1,independent,0.0,0.002629295153287434,0.00031084212357295013,0.0,0.016011764705882357,0.5647580212272616,0.002639943396358302
2000,0.7,0.15,independent,0.0,0.005031354005731153,0.0004961761953273362,0.0,0.02792602996254685,0.5794080346810587,0.00402290326726818
2000,0.7,0.2,independent,0.0,0.006911068052106838,0.0006882863623663194,0.0,0.030804455445544564,0.5984452970450674,0.00407190117022009
2000,0.9,0.05,independent,0.0,0.0018181187420677725,0.0002796115486350602,0.0,0.010752688172043012,0.5052934514453395,0.002784542003029857
2000,0.9,0.1,independent,0.0,0.0048146089205110855,0.0004921544068742484,0.0,0.022773845007451575,0.5331631310849945,0.0030937406095703536
2000,0.9,0.15,independent,0.0,0.007056483757948073,0.0005902491939906205,0.0,0.02830188679245283,0.5462384377370707,0.0030014932140064823
2000,0.9,0.2,independent,0.0,0.010650686609265008,0.0007410487954744536,0.0,0.03129519628099175,0.5616159077040221,0.003000611200117179
2000,0.95,0.05,independent,0.0,0.0026691507409277375,0.0005522565570718816,0.0,0.023284174702212144,0.4764569543438434,0.0037291283317537364
2000,0.95,0.1,independent,0.0,0.006893937840122131,0.0008676570560056834,0.0,0.038586956521739164,0.50593424590215,0.004578355099403196
2000,0.95,0.15,independent,0.0,0.009097029458245762,0.00105321296472008,0.0,0.046912802419354846,0.5246511537847158,0.004174523686265743
2000,0.95,0.2,independent,0.0,0.012408707465996293,0.0011589021625128901,0.0,0.058852941176470594,0.5387501229366954,0.004483403322376173
5000,0.5,0.05,independent,0.0,0.007265215440208228,0.0001951313951355815,0.0019177546744992158,0.01327663951318327,0.6560804656387539,0.0019335096077853853
5000,0.5,0.1,independent,0.0,0.01162288051993106,0.00031025422350759946,0.0014384336760234798,0.020731967513596718,0.6817948744425811,0.0022115067931301187
5000,0.5,0.15,independent,0.0,0.016511724571741798,0.0003903779621441878,0.0013710248997273013,0.026229342590424243,0.7008228979877889,0.0021963919449765213
5000,0.5,0.2,independent,0.0,0.020877268303284947,0.0003979400253606293,0.01085316924066924,0.03265338379819789,0.7144431220740768,0.0018757993046152257
5000,0.7,0.05,independent,0.0,0.0007588968848727109,8.86704707982162e-05,0.0,0.002706728158110335,0.5109068735417117,0.003978059063457009
