metric,median,ci_lo,ci_hi
ap_astro,0.8572860203748119,0.8489925571222731,0.866213715861906
ap_expanded,0.977750673576666,0.9752413661316734,0.9801032960275463
precision_astro,0.8681165946432761,0.8595864137357432,0.8767693494741899
precision_expanded,0.9883620640043727,0.9855804723631137,0.9909599889748271
recall_astro,0.8230547812554,0.8133264539237817,0.8325967241323202
