kappa,d,n,n_trials,rejection_rate_mixlr,log_e_mixlr_p50,log_e_mixlr_p10,log_e_mixlr_p90,rejection_rate_lrt,log_e_lrt_p50,T_cohesion_p50
100.0,384,8,200,0.0,-1017.0943674657019,-1138.053008232605,-925.1748696932956,,,0.060786010485054644
500.0,384,8,200,0.0,-227.25331760206686,-239.43904371058218,-215.1535210607099,,,0.47275926281975356
1000.0,384,8,200,0.0,-88.520546584897,-93.66185936171402,-83.64308241543078,,,0.6837573159077761
2000.0,384,8,200,0.0,-20.532524066911726,-22.976444382257267,-17.83862212345363,,,0.8253016842188302
5000.0,384,8,200,1.0,17.069618625216336,16.29796829365353,17.858831755722576,,,0.9262989362961103
10000.0,384,8,200,1.0,26.357614882766864,26.074036427183465,26.568111538107317,,,0.9625620812872113
20000.0,384,8,200,1.0,28.1068296304215,28.075847997203695,28.130941593844028,,,0.9811314386708214
50000.0,384,8,200,1.0,25.019432761458553,24.870906515217445,25.2356299943709,,,0.9924130378473448
