gamma_fine,K,g0_mean,g1_mean,g0_weight,mode_separation,k_rejected,rejection_rate,AP_y_template,base_y_template,prec_y_template,rec_y_template,AP_y_heavy_template,base_y_heavy_template,prec_y_heavy_template,rec_y_heavy_template,AP_y_sum_heavy,base_y_sum_heavy,prec_y_sum_heavy,rec_y_sum_heavy
0.95,262,0.5266710064571553,0.998495884394353,0.8813111808597407,0.47182487793719774,31,0.1183206106870229,0.019342079947179874,0.019083969465648856,0.0,0.0,0.01562595373252762,0.011450381679389313,0.0,0.0,0.015564914850759934,0.007633587786259542,0.0,0.0
0.96,262,0.5906720376559018,0.9913598227179833,0.8211188863680925,0.40068778506208147,46,0.17557251908396945,0.018131226398533064,0.019083969465648856,0.0,0.0,0.01484970628671416,0.011450381679389313,0.0,0.0,0.016369047619047616,0.007633587786259542,0.0,0.0
0.97,262,0.6326387997827471,0.9985425862540726,0.743421354639558,0.3659037864713255,67,0.25572519083969464,0.01809417212792174,0.019083969465648856,0.0,0.0,0.014641817537845391,0.011450381679389313,0.0,0.0,0.013535760014633254,0.007633587786259542,0.0,0.0
0.98,262,0.7023322411927743,0.9140132726675808,0.4358862989499985,0.21168103147480655,112,0.42748091603053434,0.017000844822248486,0.019083969465648856,0.0,0.0,0.013305148433908495,0.011450381679389313,0.0,0.0,0.012640649480131036,0.007633587786259542,0.0,0.0
