gamma_fine,K,g0_mean,g1_mean,g0_weight,mode_separation,k_rejected,rejection_rate,AP_y_template,base_y_template,prec_y_template,rec_y_template,AP_y_heavy_template,base_y_heavy_template,prec_y_heavy_template,rec_y_heavy_template,AP_y_sum_heavy,base_y_sum_heavy,prec_y_sum_heavy,rec_y_sum_heavy
0.95,1863,0.633161193086067,0.997584622943118,0.3363635723675758,0.364423429857051,1230,0.6602254428341385,0.007906323253668223,0.012345679012345678,0.0,0.0,0.005036987146121157,0.007514761137949544,0.0,0.0,0.003630853280147141,0.005367686527106817,0.0,0.0
0.96,1863,0.6367799815386784,0.9969544873794832,0.23777715373695338,0.3601745058408048,1412,0.7579173376274826,0.007466022830896302,0.012345679012345678,0.0,0.0,0.0047204996029888095,0.007514761137949544,0.0,0.0,0.0035024196249849927,0.005367686527106817,0.0,0.0
0.97,1863,0.6750507150454506,0.988696911476916,0.16055231919016588,0.3136461964314654,1532,0.8223295759527643,0.007300489779933412,0.012345679012345678,0.0006527415143603133,0.043478260869565216,0.004581917310090148,0.007514761137949544,0.0006527415143603133,0.07142857142857142,0.0035546580398871704,0.005367686527106817,0.0006527415143603133,0.1
0.98,1863,0.7721235401926405,0.9814480388824895,0.08228664847054615,0.20932449868984904,1645,0.8829844337090714,0.006976777971319927,0.012345679012345678,0.0024316109422492403,0.17391304347826086,0.004277587897270495,0.007514761137949544,0.0012158054711246201,0.14285714285714285,0.0031824993712507845,0.005367686527106817,0.0012158054711246201,0.2
