cluster_id,n,n_distinct_fine,fragmentation_rate,max_template,sum_template,y_template,y_heavy_template,log_e
0,33,4,0.12121212121212122,42,120,1,0,0.7813106031746506
1,31,1,0.03225806451612903,22,115,1,0,4.982805221779997
2,30,14,0.4666666666666667,81,156,1,1,-2.6294183856820896
3,27,17,0.6296296296296297,1,27,0,0,-2.838442891760284
4,27,5,0.18518518518518517,7,47,0,0,-0.4671008023113439
5,27,10,0.37037037037037035,1,27,0,0,-2.2185429147031557
6,26,12,0.46153846153846156,2,27,0,0,-2.613307175722778
7,26,11,0.4230769230769231,1,26,0,0,-2.472679510608006
8,25,7,0.28,11,43,1,0,-1.5768202084459535
9,25,2,0.08,3,34,0,0,2.066435863592072
10,22,14,0.6363636363636364,21,46,1,0,-2.83419117330993
11,21,11,0.5238095238095238,1,21,0,0,-2.7690897780545254
12,21,9,0.42857142857142855,2,22,0,0,-2.494965774872767
13,19,13,0.6842105263157895,9,27,0,0,-2.770523995657107
14,19,9,0.47368421052631576,1,19,0,0,-2.650490191523607
15,18,8,0.4444444444444444,8,26,0,0,-2.5551831030667507
16,18,11,0.6111111111111112,31,48,1,0,-2.8445325429862667
17,16,10,0.625,1,16,0,0,-2.84072893403459
18,16,3,0.1875,2,17,0,0,-0.5023314836879433
19,15,12,0.8,1,15,0,0,-2.3033205106313757
20,15,6,0.4,1,15,0,0,-2.3706631368348687
21,15,12,0.8,1,15,0,0,-2.3033205106313757
22,14,14,1.0,1,14,0,0,23.357506863905847
23,14,4,0.2857142857142857,5,24,0,0,-1.6268875638685123
24,14,9,0.6428571428571429,1,14,0,0,-2.8290355121955404
25,14,11,0.7857142857142857,1,14,0,0,-2.392538515530756
26,14,1,0.07142857142857142,1,14,0,0,2.423922915231574
27,13,13,1.0,1,13,0,0,23.357506863905847
28,13,7,0.5384615384615384,1,13,0,0,-2.793391825752205
29,13,11,0.8461538461538461,1,13,0,0,-1.9226320734539974
30,13,8,0.6153846153846154,1,13,0,0,-2.8438452132252614
31,13,11,0.8461538461538461,1,13,0,0,-1.9226320734539974
32,13,7,0.5384615384615384,1,13,0,0,-2.793391825752205
33,13,2,0.15384615384615385,4,23,0,0,0.06891907587025248
34,13,5,0.38461538461538464,3,16,0,0,-2.2947692105755992
35,12,12,1.0,1,12,0,0,23.357506863905847
36,12,12,1.0,1,12,0,0,23.357506863905847
37,12,8,0.6666666666666666,1,12,0,0,-2.8009465773069926
38,12,12,1.0,1,12,0,0,23.357506863905847
39,12,9,0.75,1,12,0,0,-2.5710190562550013
40,12,10,0.8333333333333334,1,12,0,0,-2.0449180226403394
41,12,12,1.0,1,12,0,0,23.357506863905847
42,12,10,0.8333333333333334,1,12,0,0,-2.0449180226403394
43,12,7,0.5833333333333334,2,13,0,0,-2.838799452916466
44,12,5,0.4166666666666667,88,99,1,1,-2.4457198697161133
45,11,11,1.0,1,11,0,0,23.357506863905847
46,11,11,1.0,1,11,0,0,23.357506863905847
47,11,6,0.5454545454545454,1,11,0,0,-2.8033521133587374
48,11,5,0.45454545454545453,1,11,0,0,-2.5903571801878114
49,11,7,0.6363636363636364,1,11,0,0,-2.83419117330993
50,11,7,0.6363636363636364,1,11,0,0,-2.83419117330993
51,11,8,0.7272727272727273,2,12,0,0,-2.6567283718869596
52,11,5,0.45454545454545453,1,11,0,0,-2.5903571801878114
53,11,4,0.36363636363636365,6,33,0,0,-2.1804268601442334
54,11,7,0.6363636363636364,2,13,0,0,-2.83419117330993
55,11,9,0.8181818181818182,1,11,0,0,-2.1720122287804795
56,11,9,0.8181818181818182,1,11,0,0,-2.1720122287804795
57,11,11,1.0,1,11,0,0,23.357506863905847
58,11,11,1.0,1,11,0,0,23.357506863905847
59,11,2,0.18181818181818182,10,23,1,0,-0.4148921698929331
60,11,11,1.0,1,11,0,0,23.357506863905847
61,10,10,1.0,1,10,0,0,23.357506863905847
62,10,10,1.0,1,10,0,0,23.357506863905847
63,10,9,0.9,1,10,0,0,-1.1962896307608837
64,10,10,1.0,1,10,0,0,23.357506863905847
65,10,10,1.0,1,10,0,0,23.357506863905847
66,10,10,1.0,1,10,0,0,23.357506863905847
67,10,6,0.6,2,11,0,0,-2.844342799971139
68,10,7,0.7,1,10,0,0,-2.735571934108834
69,10,8,0.8,5,15,0,0,-2.3033205106313757
70,10,8,0.8,1,10,0,0,-2.3033205106313757
71,10,10,1.0,1,10,0,0,23.357506863905847
72,10,6,0.6,1,10,0,0,-2.844342799971139
73,10,10,1.0,1,10,0,0,23.357506863905847
74,10,10,1.0,1,10,0,0,23.357506863905847
75,10,7,0.7,1,10,0,0,-2.735571934108834
76,10,10,1.0,1,10,0,0,23.357506863905847
77,10,10,1.0,1,10,0,0,23.357506863905847
78,10,10,1.0,1,10,0,0,23.357506863905847
79,10,10,1.0,1,10,0,0,23.357506863905847
80,10,9,0.9,1,10,0,0,-1.1962896307608837
81,10,10,1.0,1,10,0,0,23.357506863905847
82,10,10,1.0,1,10,0,0,23.357506863905847
83,10,10,1.0,1,10,0,0,23.357506863905847
84,10,10,1.0,1,10,0,0,23.357506863905847
85,10,7,0.7,1,10,0,0,-2.735571934108834
86,10,6,0.6,1,10,0,0,-2.844342799971139
87,10,10,1.0,1,10,0,0,23.357506863905847
88,10,9,0.9,1,10,0,0,-1.1962896307608837
89,9,9,1.0,1,9,0,0,23.357506863905847
90,9,9,1.0,1,9,0,0,23.357506863905847
91,9,8,0.8888888888888888,2,10,0,0,-1.3828209291487297
92,9,8,0.8888888888888888,1,9,0,0,-1.3828209291487297
93,9,9,1.0,1,9,0,0,23.357506863905847
94,9,9,1.0,1,9,0,0,23.357506863905847
95,9,6,0.6666666666666666,1,9,0,0,-2.8009465773069926
96,9,9,1.0,1,9,0,0,23.357506863905847
97,9,9,1.0,1,9,0,0,23.357506863905847
98,9,8,0.8888888888888888,1,9,0,0,-1.3828209291487297
99,9,9,1.0,1,9,0,0,23.357506863905847
100,9,9,1.0,1,9,0,0,23.357506863905847
101,9,7,0.7777777777777778,1,9,0,0,-2.4373870893902
102,9,6,0.6666666666666666,1,9,0,0,-2.8009465773069926
103,9,9,1.0,1,9,0,0,23.357506863905847
104,9,8,0.8888888888888888,1,9,0,0,-1.3828209291487297
105,9,9,1.0,1,9,0,0,23.357506863905847
106,9,3,0.3333333333333333,1,9,0,0,-1.991185844691986
107,9,6,0.6666666666666666,76,84,1,1,-2.8009465773069926
108,9,9,1.0,2,10,0,0,23.357506863905847
109,9,9,1.0,1,9,0,0,23.357506863905847
110,9,2,0.2222222222222222,1,9,0,0,-0.973862043609496
111,9,7,0.7777777777777778,1,9,0,0,-2.4373870893902
112,9,6,0.6666666666666666,1,9,0,0,-2.8009465773069926
113,9,9,1.0,1,9,0,0,23.357506863905847
114,9,9,1.0,1,9,0,0,23.357506863905847
115,9,9,1.0,1,9,0,0,23.357506863905847
116,9,9,1.0,1,9,0,0,23.357506863905847
117,9,9,1.0,1,9,0,0,23.357506863905847
118,9,6,0.6666666666666666,1,9,0,0,-2.8009465773069926
119,9,7,0.7777777777777778,1,9,0,0,-2.4373870893902
120,9,9,1.0,1,9,0,0,23.357506863905847
121,9,6,0.6666666666666666,1,9,0,0,-2.8009465773069926
122,9,9,1.0,1,9,0,0,23.357506863905847
123,9,9,1.0,1,9,0,0,23.357506863905847
124,9,9,1.0,1,9,0,0,23.357506863905847
125,9,2,0.2222222222222222,1,9,0,0,-0.973862043609496
126,9,9,1.0,1,9,0,0,23.357506863905847
127,8,8,1.0,1,8,0,0,23.357506863905847
128,8,8,1.0,1,8,0,0,23.357506863905847
129,8,3,0.375,1,8,0,0,-2.2439631345905093
130,8,8,1.0,1,8,0,0,23.357506863905847
131,8,7,0.875,1,8,0,0,-1.5851448315741963
132,8,7,0.875,2,9,0,0,-1.5851448315741963
133,8,8,1.0,1,8,0,0,23.357506863905847
134,8,8,1.0,1,8,0,0,23.357506863905847
135,8,7,0.875,1,8,0,0,-1.5851448315741963
136,8,8,1.0,1,8,0,0,23.357506863905847
137,8,7,0.875,1,8,0,0,-1.5851448315741963
138,8,6,0.75,1,8,0,0,-2.5710190562550013
139,8,5,0.625,1,8,0,0,-2.84072893403459
140,8,8,1.0,1,8,0,0,23.357506863905847
141,8,8,1.0,1,8,0,0,23.357506863905847
