K,pi_0,n_anchor_avg,alpha,n_reps,evalue_rmse,fdp_regret_mean,fdp_regret_se,power_regret_mean,power_regret_se
200,0.7,14,0.1,80,2.967376912097373,0.037190506080106656,0.005845950616136122,0.2835858544693464,0.01650615139464086
500,0.7,35,0.1,80,1.5216063861784523,0.012018855412883951,0.0022674803761466816,0.19836343565462558,0.01443854353131798
2000,0.7,140,0.1,80,0.6558532852726435,0.003265628898356265,0.0004655763503222125,0.14017079896590445,0.011448623062028167
8000,0.7,560,0.1,80,0.3958052136260004,0.0010854645390873535,0.00011741088509001951,0.07726017699309842,0.005004275312446197
20000,0.7,1400,0.1,80,0.36935668858354315,0.0007172076560544116,7.053183531890223e-05,0.05899261613534532,0.004454510832729399
50000,0.7,3500,0.1,80,0.35307079233578675,0.0008385754315635638,7.459014094959268e-05,0.0577778426755284,0.003660799079480642
